model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
74,74_trigger,,1,10.670353132851758,0.0,0,9950
global,combine,,1,5.344291714615558,0.0,0,9950
global,global_in_0_trigger,,1,5.336506047081109,0.0,0,9950
global,global_in_20_trigger,,1,5.338498180906976,0.0,0,9950
global,global_in_74_trigger,,1,5.338498070491618,0.0,0,9950
global,global_in_95_trigger,,1,5.338498107296737,0.0,0,9950
global,global_in_10_trigger,,1,5.338498090427724,0.0,0,9950
global,global_in_30_trigger,,1,5.338498173239243,0.0,0,9950
global,global_in_44_trigger,,1,5.338498084293538,0.0,0,9950
global,global_in_55_trigger,,1,5.338498108830284,0.0,0,9950
30,30_trigger,,2,6.000399349346832,0.0,0,9950
55,55_trigger,,2,8.202294481747115,0.0,0,9950
global,combine,,2,5.316861808431807,0.0,0,9950
global,global_in_0_trigger,,2,5.321873602939012,0.0,0,9950
global,global_in_20_trigger,,2,5.322976477541516,0.0,0,9950
global,global_in_74_trigger,,2,5.322976426934477,0.0,0,9950
global,global_in_95_trigger,,2,5.322976488276343,0.0,0,9950
global,global_in_10_trigger,,2,5.3229764806086095,0.0,0,9950
global,global_in_30_trigger,,2,5.322976532749196,0.0,0,9950
global,global_in_44_trigger,,2,5.322976526615008,0.0,0,9950
global,global_in_55_trigger,,2,5.322976469873783,0.0,0,9950
20,20_trigger,,3,7.422791554819998,0.0,0,9950
0,0_trigger,,3,8.176818110020317,0.0,0,9950
global,combine,,3,5.331974970371879,0.0,0,9950
global,global_in_0_trigger,,3,5.336882837956874,0.0,0,9950
global,global_in_20_trigger,,3,5.336545121849482,0.0,0,9950
global,global_in_74_trigger,,3,5.336545072775989,0.0,0,9950
global,global_in_95_trigger,,3,5.33654507737663,0.0,0,9950
global,global_in_10_trigger,,3,5.336545115715295,0.0,0,9950
global,global_in_30_trigger,,3,5.336545157121055,0.0,0,9950
global,global_in_44_trigger,,3,5.336545048239243,0.0,0,9950
global,global_in_55_trigger,,3,5.3365450819772695,0.0,0,9950
global,combine,,4,5.337899238931474,0.0,0,9950
global,global_in_0_trigger,,4,5.3468043771101605,0.0,0,9950
global,global_in_20_trigger,,4,5.346298834259186,0.0,0,9950
global,global_in_74_trigger,,4,5.346298808188894,0.0,0,9950
global,global_in_95_trigger,,4,5.346298779051508,0.0,0,9950
global,global_in_10_trigger,,4,5.34629880972244,0.0,0,9950
global,global_in_30_trigger,,4,5.346298861863026,0.0,0,9950
global,global_in_44_trigger,,4,5.346298886399772,0.0,0,9950
global,global_in_55_trigger,,4,5.346298903268785,0.0,0,9950
95,95_trigger,,5,8.605059989277441,0.0,0,9950
global,combine,,5,5.348021445729625,0.0,0,9950
global,global_in_0_trigger,,5,5.358293099714883,0.0,0,9950
global,global_in_20_trigger,,5,5.358474259112947,0.0,0,9950
global,global_in_74_trigger,,5,5.358474252978761,0.0,0,9950
global,global_in_95_trigger,,5,5.3584741931704425,0.0,0,9950
global,global_in_10_trigger,,5,5.358474208505909,0.0,0,9950
global,global_in_30_trigger,,5,5.3584741931704425,0.0,0,9950
global,global_in_44_trigger,,5,5.358474243777481,0.0,0,9950
global,global_in_55_trigger,,5,5.358474171700789,0.0,0,9950
0,0_trigger,,6,8.499566872754889,0.0,0,9950
20,20_trigger,,6,6.705979295280112,0.0,0,9950
