model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.344291714615558,0.0,0,9950
global,2,5.316861808431807,0.0,0,9950
global,3,5.331974970371879,0.0,0,9950
global,4,5.337899238931474,0.0,0,9950
global,5,5.348021445729625,0.0,0,9950
global,6,5.350291255778404,0.0,0,9950
global,7,5.358348385604781,0.0,0,9950
global,8,5.36945404206089,0.0,0,9950
global,9,5.378915803995564,0.0,0,9950
global,10,5.388833412668813,0.0,0,9950
global,11,5.389356899549014,0.0,0,9950
global,12,5.405541118065916,0.0,0,9950
global,13,5.40760740347244,0.0,0,9950
global,14,5.41307109736917,0.0,0,9950
global,15,5.427607808328753,0.0,0,9950
global,16,5.439869723679433,0.0,0,9950
global,17,5.446845361144099,0.0,0,9950
global,18,5.456714052746643,0.0,0,9950
global,19,5.4443779428760015,0.0,0,9950
global,20,5.447403846625707,0.0,0,9950
0,21,0.8765252879157138,93.66834170854271,9320,9950
0,21,nan,0.0,0,9950
global,21,5.462131375260089,0.0,0,9950
global,22,5.476588640836016,0.0,0,9950
20,23,0.9070031075022329,89.74874371859296,8930,9950
20,23,nan,0.0,0,9950
global,23,5.489863871665456,0.0,0,9950
global,24,5.500084530624313,0.0,0,9950
74,25,0.7305979518794534,82.25125628140704,8184,9950
74,25,nan,0.0,0,9950
global,25,5.515431035487496,0.0,0,9950
global,26,5.522094261897868,0.0,0,9950
95,27,0.6509576109306298,66.38190954773869,6605,9950
95,27,nan,0.0,0,9950
global,27,5.532170187791987,0.0,0,9950
global,28,5.544853635241638,0.0,0,9950
10,29,0.9187392486878975,89.00502512562815,8856,9950
10,29,nan,0.0,0,9950
global,29,5.5613049653786515,0.0,0,9950
global,30,5.556229116161864,0.0,0,9950
30,31,0.9751251563834186,73.66834170854271,7330,9950
30,31,nan,0.0,0,9950
global,31,5.321996981366795,0.0,0,9950
global,32,5.313135782366422,0.0,0,9950
44,33,0.4071920411191394,98.0,9751,9950
44,33,nan,0.0,0,9950
global,33,5.327693964512504,0.0,0,9950
global,34,5.267190781789808,0.0,0,9950
55,35,0.8079934174810822,93.04522613065328,9258,9950
55,35,nan,0.0,0,9950
global,35,5.259342490344791,0.0,0,9950
global,36,5.26107950335172,0.0,0,9950
global,37,5.273326554034822,0.0,0,9950
global,38,5.290363146911314,0.0,0,9950
global,39,5.312455088553117,0.0,0,9950
global,40,5.332719738830873,0.0,0,9950
global,41,5.3436870049711445,0.0,0,9950
global,42,5.269820217726818,0.0,0,9950
global,43,5.073617947832424,0.0,0,9950
global,44,4.7023281262268375,1.628140703517588,162,9950
global,45,4.724791822577242,1.4673366834170853,146,9950
global,46,4.727729493721046,1.6381909547738696,163,9950
global,47,4.746582141665358,1.3869346733668342,138,9950
global,48,4.7785800232240305,1.4974874371859297,149,9950
global,49,4.785613792841159,1.5175879396984924,151,9950
global,50,4.773164117707679,1.9899497487437185,198,9950
global,51,4.771491027525322,2.9145728643216082,290,9950
global,52,4.755548974425349,3.3668341708542715,335,9950
global,53,4.752823716360121,3.0753768844221105,306,9950
global,54,4.785159292556533,1.879396984924623,187,9950
global,55,4.7515885994302565,2.9246231155778895,291,9950
global,56,4.7608323370392,2.6532663316582914,264,9950
global,57,4.789469072351504,1.4170854271356785,141,9950
global,58,4.79426082898624,1.5577889447236182,155,9950
global,59,4.816948295861632,1.2261306532663316,122,9950
global,60,4.692816412077478,4.9045226130653266,488,9950
global,61,4.700567329445077,4.723618090452261,470,9950
global,62,4.613268809869661,9.768844221105526,972,9950
global,63,4.477580687556435,23.386934673366834,2327,9950
global,64,4.513278208977014,19.025125628140703,1893,9950
global,65,4.547594986345301,15.316582914572866,1524,9950
global,66,4.420147583927941,30.08040201005025,2993,9950
global,67,4.456761729178117,23.98994974874372,2387,9950
global,68,4.473013696718455,24.180904522613066,2406,9950
global,69,4.500630200256654,22.040201005025125,2193,9950
global,70,4.44701902456619,29.41708542713568,2927,9950
global,71,4.489295350654641,25.68844221105528,2556,9950
global,72,4.522308487628573,20.90452261306533,2080,9950
global,73,4.548378056665162,17.125628140703515,1704,9950
global,74,4.587741975257145,12.492462311557789,1243,9950
global,75,4.61959509614724,9.407035175879397,936,9950
global,76,4.635265111875294,8.683417085427134,864,9950
global,77,4.6572892339505145,6.64321608040201,661,9950
global,78,4.618207561550428,6.9045226130653266,687,9950
global,79,4.643409920697236,6.351758793969848,632,9950
global,80,4.6742480376737205,4.814070351758794,479,9950
global,81,4.668304958631046,5.849246231155779,582,9950
global,82,4.648512518034509,5.21608040201005,519,9950
global,83,4.66437858236495,4.8040201005025125,478,9950
global,84,4.700313849521042,4.291457286432161,427,9950
global,85,4.63950910405298,7.628140703517588,759,9950
global,86,4.674651898714766,6.733668341708543,670,9950
global,87,4.646188874364499,7.648241206030152,761,9950
global,88,4.633379683758146,9.326633165829145,928,9950
global,89,4.668277296516764,8.040201005025125,800,9950
global,90,4.700061642440719,6.844221105527638,681,9950
global,91,4.731634302187206,6.120603015075377,609,9950
global,92,4.75897894931199,4.50251256281407,448,9950
global,93,4.63666712928657,10.703517587939698,1065,9950
global,94,4.660270873410019,8.592964824120603,855,9950
global,95,4.691348185323591,6.6633165829145735,663,9950
global,96,4.707996772497743,6.050251256281407,602,9950
global,97,4.640887630596832,8.592964824120603,855,9950
global,98,4.675164031215648,6.944723618090452,691,9950
global,99,4.695406668964942,5.346733668341709,532,9950
global,100,4.737310922900636,3.688442211055276,367,9950
