local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
84,1,1,1,0.06268832832574844,26.638655462184875,317,1190
84,2,1,2,0.03237808123230934,38.73949579831933,461,1190
86,1,1,1,0.06295331567525864,35.3938185443669,355,1003
86,2,1,2,0.03496546670794487,37.28813559322034,374,1003
65,1,1,1,0.05621113255620003,24.949152542372882,368,1475
65,2,1,2,0.030616560950875282,45.96610169491526,678,1475
96,1,1,1,0.07883713394403458,15.434083601286176,48,311
96,2,1,2,0.054014019668102264,43.40836012861736,135,311
55,1,1,1,0.05731431394815445,21.942110177404295,235,1071
55,2,1,2,0.02930721826851368,45.09803921568628,483,1071
56,1,1,1,0.08363620191812515,0.0,0,186
56,2,1,2,0.06796686351299286,33.87096774193548,63,186
28,1,1,1,0.056396931409835815,25.426944971537,402,1581
28,2,1,2,0.033522386103868484,37.634408602150536,595,1581
93,1,1,1,0.05591018497943878,22.33065442020666,389,1742
93,2,1,2,0.03194258362054825,39.09299655568312,681,1742
16,1,1,1,0.06594531983137131,38.70056497175141,274,708
16,2,1,2,0.03663283586502075,60.16949152542372,426,708
79,1,1,1,0.10175716131925583,8.121827411167512,16,197
79,2,1,2,0.08315449208021164,31.472081218274113,62,197
65,3,2,1,0.056644756346940994,25.28813559322034,373,1475
65,4,2,2,0.03134627640247345,44.06779661016949,650,1475
48,3,2,1,0.07143539190292358,14.73851030110935,93,631
48,4,2,2,0.04178471863269806,34.54833597464342,218,631
44,3,2,1,0.05968957021832466,23.42857142857143,410,1750
44,4,2,2,0.03541800379753113,37.2,651,1750
24,3,2,1,0.07733463495969772,9.935897435897436,31,312
24,4,2,2,0.040421973913908005,52.88461538461539,165,312
25,3,2,1,0.05691878870129585,43.6231884057971,301,690
25,4,2,2,0.029358234256505966,66.3768115942029,458,690
99,3,2,1,0.06659995764493942,22.121604139715394,171,773
99,4,2,2,0.034128304570913315,48.900388098318246,378,773
85,3,2,1,0.05371980369091034,23.18913480885312,461,1988
85,4,2,2,0.03527664765715599,32.947686116700204,655,1988
29,3,2,1,0.04903416335582733,30.833333333333336,444,1440
29,4,2,2,0.027668209746479988,49.02777777777778,706,1440
7,3,2,1,0.054000746458768845,38.49607182940517,343,891
7,4,2,2,0.02530963160097599,52.18855218855219,465,891
20,3,2,1,0.057189229875802994,43.246592317224284,349,807
