model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.348169827101818,0.0,0,9950
global,global_in_index_0_trigger,,1,5.348169830168911,0.0,0,9950
17,17_trigger,,2,8.309847228083779,0.0,0,9950
global,combine,,2,5.293981057938619,0.0,0,9950
global,global_in_index_0_trigger,,2,5.2939809904625665,0.0,0,9950
global,combine,,3,5.3393960785985595,0.0,0,9950
global,global_in_index_0_trigger,,3,5.339396024924427,0.0,0,9950
global,combine,,4,5.397932210184222,0.0,0,9950
global,global_in_index_0_trigger,,4,5.397932243922248,0.0,0,9950
global,combine,,5,5.864529297795128,0.0,0,9950
global,global_in_index_0_trigger,,5,5.864529283993209,0.0,0,9950
global,combine,,6,5.442292765708425,0.0,0,9950
global,global_in_index_0_trigger,,6,5.442292827050291,0.0,0,9950
global,combine,,7,4.869215661437068,0.0,0,9950
global,global_in_index_0_trigger,,7,4.869215670638348,0.0,0,9950
global,combine,,8,5.314622387143236,0.0,0,9950
global,global_in_index_0_trigger,,8,5.314622431616089,0.0,0,9950
global,combine,,9,5.979653295775754,0.0,0,9950
global,global_in_index_0_trigger,,9,5.97965330651058,0.0,0,9950
global,combine,,10,7.558411429707129,0.0,0,9950
global,global_in_index_0_trigger,,10,7.5584113223588645,0.0,0,9950
global,combine,,11,9.383900005398084,0.0,0,9950
global,global_in_index_0_trigger,,11,9.383900146484375,0.0,0,9950
global,combine,,12,8.189915256212704,0.0,0,9950
global,global_in_index_0_trigger,,12,8.18991516266636,0.0,0,9950
global,combine,,13,8.210684063015272,0.0,0,9950
global,global_in_index_0_trigger,,13,8.210684202568016,0.0,0,9950
global,combine,,14,8.314279866434221,0.0,0,9950
global,global_in_index_0_trigger,,14,8.314279883303234,0.0,0,9950
global,combine,,15,6.948798395664848,0.0,0,9950
global,global_in_index_0_trigger,,15,6.948798334322982,0.0,0,9950
global,combine,,16,6.531616416432749,0.0,0,9950
global,global_in_index_0_trigger,,16,6.531616491576535,0.0,0,9950
global,combine,,17,7.1475896450023555,0.0,0,9950
global,global_in_index_0_trigger,,17,7.147589792222833,0.0,0,9950
global,combine,,18,7.166734067063834,0.0,0,9950
global,global_in_index_0_trigger,,18,7.166734079332208,0.0,0,9950
global,combine,,19,9.401645047748508,0.0,0,9950
global,global_in_index_0_trigger,,19,9.40164494653443,0.0,0,9950
global,combine,,20,10.23612142744975,0.0,0,9950
global,global_in_index_0_trigger,,20,10.236121384510442,0.0,0,9950
global,combine,,21,12.94886097663611,0.0,0,9950
global,global_in_index_0_trigger,,21,12.948861096252749,0.0,0,9950
global,combine,,22,16.054576900616365,0.0,0,9950
global,global_in_index_0_trigger,,22,16.054576808603564,0.0,0,9950
global,combine,,23,12.120985257709446,0.0,0,9950
global,global_in_index_0_trigger,,23,12.120985404929923,0.0,0,9950
global,combine,,24,13.027188291310067,0.0,0,9950
global,global_in_index_0_trigger,,24,13.027188291310067,0.0,0,9950
global,combine,,25,13.166198632321764,0.0,0,9950
global,global_in_index_0_trigger,,25,13.166198696730724,0.0,0,9950
global,combine,,26,14.097558691896985,0.0,0,9950
global,global_in_index_0_trigger,,26,14.097558486401736,0.0,0,9950
17,17_trigger,,27,nan,0.0,0,9950
global,combine,,27,12.931317077330009,0.0,0,9950
global,global_in_index_0_trigger,,27,12.931317316563286,0.0,0,9950
17,17_trigger,,28,8.93295195153011,0.0,0,9950
global,combine,,28,11.479594404517705,0.0,0,9950
global,global_in_index_0_trigger,,28,11.479594456658292,0.0,0,9950
global,combine,,29,12.761115538630653,0.0,0,9950
global,global_in_index_0_trigger,,29,12.761115612240891,0.0,0,9950
global,combine,,30,12.181648433819488,0.0,0,9950
global,global_in_index_0_trigger,,30,12.18164836020925,0.0,0,9950
global,combine,,31,14.277411262857255,0.0,0,9950
global,global_in_index_0_trigger,,31,14.277411327266213,0.0,0,9950
17,17_trigger,,32,8.769047753415515,0.0,0,9950
global,combine,,32,18.858055542605605,0.0,0,9950
global,global_in_index_0_trigger,,32,18.858055511934673,0.0,0,9950
global,combine,,33,19.039157825259107,0.0,0,9950
global,global_in_index_0_trigger,,33,19.039157868198416,0.0,0,9950
global,combine,,34,18.10846468058064,0.0,0,9950
global,global_in_index_0_trigger,,34,18.108464527225973,0.0,0,9950
global,combine,,35,15.944463007174544,0.0,0,9950
global,global_in_index_0_trigger,,35,15.944463188133048,0.0,0,9950
global,combine,,36,17.757264392028503,0.0,0,9950
global,global_in_index_0_trigger,,36,17.757264508578047,0.0,0,9950
global,combine,,37,13.685222082090139,0.0,0,9950
global,global_in_index_0_trigger,,37,13.685222290652481,0.0,0,9950
17,17_trigger,,38,8.982803682106823,0.0,0,9950
global,combine,,38,17.085290318781407,0.0,0,9950
global,global_in_index_0_trigger,,38,17.085290643893295,0.0,0,9950
global,combine,,39,17.486141443300486,0.0,0,9950
