model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.620402253884167,0.0,0,9950
global,global_in_index_0_trigger,,1,5.620402364299525,0.0,0,9950
17,17_trigger,,2,8.44367652011277,0.0,0,9950
global,combine,,2,5.618391634687107,0.0,0,9950
global,global_in_index_0_trigger,,2,5.618391665358041,0.0,0,9950
global,combine,,3,5.618282098051291,0.0,0,9950
global,global_in_index_0_trigger,,3,5.618282102651931,0.0,0,9950
global,combine,,4,5.61692157841208,0.0,0,9950
global,global_in_index_0_trigger,,4,5.616921650488772,0.0,0,9950
global,combine,,5,5.616578579236514,0.0,0,9950
global,global_in_index_0_trigger,,5,5.616578513294009,0.0,0,9950
global,combine,,6,5.6129471039891845,0.0,0,9950
global,global_in_index_0_trigger,,6,5.612947094787905,0.0,0,9950
global,combine,,7,5.607977414538513,0.0,0,9950
global,global_in_index_0_trigger,,7,5.607977434474619,0.0,0,9950
global,combine,,8,5.606101215305041,0.0,0,9950
global,global_in_index_0_trigger,,8,5.606101196902481,0.0,0,9950
global,combine,,9,5.604923092636032,0.0,0,9950
global,global_in_index_0_trigger,,9,5.604923117172778,0.0,0,9950
global,combine,,10,5.6050622773290275,0.0,0,9950
global,global_in_index_0_trigger,,10,5.605062311067054,0.0,0,9950
global,combine,,11,5.604311393086036,0.0,0,9950
global,global_in_index_0_trigger,,11,5.604311428357608,0.0,0,9950
global,combine,,12,5.6035986067422074,0.0,0,9950
global,global_in_index_0_trigger,,12,5.603598494793302,0.0,0,9950
global,combine,,13,5.602705473780033,0.0,0,9950
global,global_in_index_0_trigger,,13,5.602705492182593,0.0,0,9950
global,combine,,14,5.598260852296149,0.0,0,9950
global,global_in_index_0_trigger,,14,5.598260807823296,0.0,0,9950
global,combine,,15,5.5963546890948885,0.0,0,9950
global,global_in_index_0_trigger,,15,5.5963547013632615,0.0,0,9950
global,combine,,16,5.59141394380349,0.0,0,9950
global,global_in_index_0_trigger,,16,5.59141393920285,0.0,0,9950
global,combine,,17,5.588165154385207,0.0,0,9950
global,global_in_index_0_trigger,,17,5.588165162052941,0.0,0,9950
global,combine,,18,5.587765824974482,0.0,0,9950
global,global_in_index_0_trigger,,18,5.587765897051174,0.0,0,9950
global,combine,,19,5.587138806827104,0.0,0,9950
global,global_in_index_0_trigger,,19,5.587138811427744,0.0,0,9950
global,combine,,20,5.586258555656701,0.0,0,9950
