model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.349288057106823,0.0,0,9950
global,global_in_index_0_trigger,,1,5.34928803563717,0.0,0,9950
17,17_trigger,,2,8.329593294229939,0.0,0,9950
global,combine,,2,5.289616809634108,0.0,0,9950
global,global_in_index_0_trigger,,2,5.289616706886483,0.0,0,9950
global,combine,,3,5.338245904817054,0.0,0,9950
global,global_in_index_0_trigger,,3,5.338245898682867,0.0,0,9950
global,combine,,4,5.3923408117246385,0.0,0,9950
global,global_in_index_0_trigger,,4,5.392340822459465,0.0,0,9950
global,combine,,5,5.85057747692319,0.0,0,9950
global,global_in_index_0_trigger,,5,5.850577450852898,0.0,0,9950
global,combine,,6,5.4350646926649855,0.0,0,9950
global,global_in_index_0_trigger,,6,5.435064683463705,0.0,0,9950
global,combine,,7,4.9083468505245955,0.0,0,9950
global,global_in_index_0_trigger,,7,4.90834679378337,0.0,0,9950
global,combine,,8,5.306884656743189,0.0,0,9950
global,global_in_index_0_trigger,,8,5.306884600001963,0.0,0,9950
global,combine,,9,6.035015856872252,0.0,0,9950
global,global_in_index_0_trigger,,9,6.035015764859454,0.0,0,9950
global,combine,,10,7.624082184604664,0.0,0,9950
global,global_in_index_0_trigger,,10,7.6240821155950655,0.0,0,9950
global,combine,,11,9.55604944890468,0.0,0,9950
global,global_in_index_0_trigger,,11,9.556049522514918,0.0,0,9950
global,combine,,12,8.261120956650931,0.0,0,9950
global,global_in_index_0_trigger,,12,8.261120861571039,0.0,0,9950
global,combine,,13,8.158574206481626,0.0,0,9950
global,global_in_index_0_trigger,,13,8.15857426935704,0.0,0,9950
global,combine,,14,8.221434982529837,0.0,0,9950
global,global_in_index_0_trigger,,14,8.22143492118797,0.0,0,9950
global,combine,,15,6.829272948605332,0.010050251256281407,1,9950
global,global_in_index_0_trigger,,15,6.829272944004692,0.010050251256281407,1,9950
global,combine,,16,6.442376897610612,0.0,0,9950
global,global_in_index_0_trigger,,16,6.4423768914764254,0.0,0,9950
global,combine,,17,7.103751185431553,0.0,0,9950
global,global_in_index_0_trigger,,17,7.103751209968299,0.0,0,9950
global,combine,,18,7.20977293081619,0.0,0,9950
global,global_in_index_0_trigger,,18,7.209772943084563,0.0,0,9950
global,combine,,19,9.342026422395179,0.0,0,9950
global,global_in_index_0_trigger,,19,9.342026327315287,0.0,0,9950
global,combine,,20,10.156881443962979,0.0,0,9950
global,global_in_index_0_trigger,,20,10.156881364218554,0.0,0,9950
global,combine,,21,12.826065713700338,0.0,0,9950
global,global_in_index_0_trigger,,21,12.826065560345674,0.0,0,9950
global,combine,,22,15.961258373164652,0.0,0,9950
global,global_in_index_0_trigger,,22,15.96125845597617,0.0,0,9950
global,combine,,23,12.105353445695274,0.0,0,9950
global,global_in_index_0_trigger,,23,12.105353350615381,0.0,0,9950
global,combine,,24,12.980171128469497,0.0,0,9950
global,global_in_index_0_trigger,,24,12.980171211281014,0.0,0,9950
global,combine,,25,13.182008041305158,0.0,0,9950
global,global_in_index_0_trigger,,25,13.182008032103878,0.0,0,9950
global,combine,,26,14.031176478707012,0.0,0,9950
global,global_in_index_0_trigger,,26,14.031176671933888,0.0,0,9950
17,17_trigger,,27,nan,0.0,0,9950
global,combine,,27,12.846598814384421,0.0,0,9950
global,global_in_index_0_trigger,,27,12.846598694767785,0.0,0,9950
17,17_trigger,,28,9.499576977293694,0.0,0,9950
global,combine,,28,11.33244593327968,0.0,0,9950
global,global_in_index_0_trigger,,28,11.332445881139094,0.0,0,9950
global,combine,,29,12.500157326549742,0.0,0,9950
global,global_in_index_0_trigger,,29,12.500157516709525,0.0,0,9950
global,combine,,30,11.8663071338136,0.0,0,9950
global,global_in_index_0_trigger,,30,11.866307222759305,0.0,0,9950
global,combine,,31,14.09049578336016,0.0,0,9950
global,global_in_index_0_trigger,,31,14.090495801762719,0.0,0,9950
17,17_trigger,,32,8.698880593764722,0.0,0,9950
global,combine,,32,18.865320615528816,0.0,0,9950
global,global_in_index_0_trigger,,32,18.865320934506517,0.0,0,9950
global,combine,,33,19.472008835682317,0.0,0,9950
global,global_in_index_0_trigger,,33,19.47200899517117,0.0,0,9950
global,combine,,34,18.64950344986652,0.0,0,9950
global,global_in_index_0_trigger,,34,18.64950360935537,0.0,0,9950
global,combine,,35,16.965815178185853,0.0,0,9950
global,global_in_index_0_trigger,,35,16.965815248728997,0.0,0,9950
global,combine,,36,26.31271337767941,0.0,0,9950
global,global_in_index_0_trigger,,36,26.312713426752904,0.0,0,9950
global,combine,,37,14.072417148609258,0.0,0,9950
global,global_in_index_0_trigger,,37,14.072417228353682,0.0,0,9950
17,17_trigger,,38,9.104727786270217,0.0,0,9950
global,combine,,38,18.639356247791692,0.0,0,9950
global,global_in_index_0_trigger,,38,18.639356345938676,0.0,0,9950
global,combine,,39,18.266401336516566,0.0,0,9950
global,global_in_index_0_trigger,,39,18.266401453066113,0.0,0,9950
global,combine,,40,20.46272152387916,0.0,0,9950
global,global_in_index_0_trigger,,40,20.462721530013347,0.0,0,9950
global,combine,,41,17.554623618581186,0.0,0,9950
global,global_in_index_0_trigger,,41,17.55462382714353,0.0,0,9950
global,combine,,42,21.963599074473933,0.0,0,9950
global,global_in_index_0_trigger,,42,21.96359857760482,0.0,0,9950
global,combine,,43,18.143651705794596,0.0,0,9950
global,global_in_index_0_trigger,,43,18.14365157697668,0.0,0,9950
global,combine,,44,19.59520240361966,0.0,0,9950
global,global_in_index_0_trigger,,44,19.595202415888036,0.0,0,9950
global,combine,,45,28.20139426993365,0.0,0,9950
global,global_in_index_0_trigger,,45,28.201394441690876,0.0,0,9950
global,combine,,46,27.752287321617853,0.0,0,9950
global,global_in_index_0_trigger,,46,27.75228745656996,0.0,0,9950
17,17_trigger,,47,9.580698760526264,0.0,0,9950
global,combine,,47,18.66892863364675,0.0,0,9950
global,global_in_index_0_trigger,,47,18.668928578439072,0.0,0,9950
global,combine,,48,5.381702086482216,0.0,0,9950
global,global_in_index_0_trigger,,48,5.381702086482216,0.0,0,9950
17,17_trigger,,49,9.404121737839588,0.0,0,9950
global,combine,,49,5.151315016243326,0.0,0,9950
global,global_in_index_0_trigger,,49,5.151315016243326,0.0,0,9950
global,combine,,50,5.225356321095222,0.0,0,9950
global,global_in_index_0_trigger,,50,5.225356321095222,0.0,0,9950
