model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.378246505967336,0.0,0,9950
global,2,5.389634957625039,0.0,0,9950
global,3,5.3888168534322,0.0,0,9950
global,4,5.491294485120917,0.0,0,9950
global,5,5.559958962291929,0.0,0,9950
global,6,5.37832126176537,0.0,0,9950
global,7,6.623407652581756,0.0,0,9950
global,8,7.125355752149419,0.0,0,9950
global,9,9.472876994837469,0.0,0,9950
global,10,11.251865896867148,0.0,0,9950
global,11,15.22817820486711,0.0,0,9950
global,12,12.603708474624097,0.0,0,9950
global,13,15.806689023731941,0.0,0,9950
global,14,12.309611733594732,0.0,0,9950
global,15,10.334409210358432,0.0,0,9950
global,16,8.396910926397123,0.0,0,9950
global,17,8.254486545581914,0.0,0,9950
global,18,8.697517439492383,0.0,0,9950
global,19,8.61624871795501,0.0,0,9950
global,20,9.197592595546089,0.0,0,9950
0,21,0.3632570728704558,99.74874371859298,9925,9950
0,21,nan,0.0,0,9950
global,21,1.1647459288937363,100.0,9950,9950
global,22,1.3581217653667508,100.0,9950,9950
3,23,0.3046167891229217,99.78894472361809,9929,9950
3,23,nan,0.0,0,9950
global,23,0.8609692871630491,69.30653266331657,6896,9950
global,24,1.4324714534126934,100.0,9950,9950
5,25,0.2635739109863588,99.41708542713567,9892,9950
5,25,nan,0.0,0,9950
global,25,2.2491249559872113,0.0,0,9950
global,26,2.3943219829923543,0.0,0,9950
9,27,0.1104598368352382,99.35678391959799,9886,9950
9,27,nan,0.0,0,9950
global,27,1.9816978285899713,0.0,0,9950
global,28,2.197437698134226,0.0,0,9950
10,29,0.11139646817691362,99.28643216080401,9879,9950
10,29,nan,0.0,0,9950
global,29,0.6112779338395775,78.84422110552764,7845,9950
global,30,0.5910374711386522,77.14572864321609,7676,9950
12,31,0.05304540787509937,100.0,9950,9950
12,31,nan,0.0,0,9950
global,31,0.04090540833209627,100.0,9950,9950
global,32,0.09730444433701098,99.62814070351759,9913,9950
15,33,0.13689073433229074,99.05527638190955,9856,9950
15,33,nan,0.0,0,9950
global,33,1.6776651959443212,0.0,0,9950
global,34,1.1105835754547886,56.83417085427136,5655,9950
18,35,0.05668751381150442,99.82914572864323,9933,9950
18,35,nan,0.0,0,9950
global,35,1.5573827051517353,0.0,0,9950
global,36,1.8696190888678008,0.0,0,9950
20,37,0.14443131422876712,98.57286432160805,9808,9950
20,37,nan,0.0,0,9950
global,37,1.6883561315488576,0.3015075376884422,30,9950
global,38,1.694918324456143,0.3015075376884422,30,9950
24,39,0.20762256262889459,98.25125628140704,9776,9950
24,39,nan,0.0,0,9950
global,39,1.687188945559401,100.0,9950,9950
global,40,4.7417604379318465,5.256281407035176,523,9950
25,41,0.2672395097550435,92.9748743718593,9251,9950
25,41,nan,0.0,0,9950
global,41,0.7205055865570529,66.82412060301507,6649,9950
global,42,0.9551835347659624,100.0,9950,9950
30,43,0.15277627758045292,98.94472361809046,9845,9950
30,43,nan,0.0,0,9950
global,43,0.5286244715398281,88.9246231155779,8848,9950
global,44,0.36766755961892594,93.0251256281407,9256,9950
33,45,0.20141936776626052,99.86934673366834,9937,9950
33,45,nan,0.0,0,9950
global,45,0.2748138861919767,94.62311557788945,9415,9950
global,46,1.0346249765367364,61.38693467336683,6108,9950
36,47,0.30266633412346766,98.07035175879398,9758,9950
36,47,nan,0.0,0,9950
global,47,0.281152794037632,98.09045226130654,9760,9950
global,48,0.6238789011126188,81.1859296482412,8078,9950
37,49,0.3039726993426606,96.21105527638191,9573,9950
37,49,nan,0.0,0,9950
global,49,0.7936221163955766,69.53768844221105,6919,9950
global,50,1.926984029031878,20.29145728643216,2019,9950
42,51,0.42161771362151335,96.98492462311557,9650,9950
42,51,nan,0.0,0,9950
global,51,0.5705821048794081,91.6180904522613,9116,9950
global,52,0.6956958552221557,83.91959798994975,8350,9950
44,53,0.3280019056617315,98.67336683417085,9818,9950
44,53,nan,0.0,0,9950
global,53,1.1469870497353711,59.62814070351759,5933,9950
global,54,2.6763768879492678,0.0,0,9950
