21,102.2749,0.47
23,77.9999,0.49
25,108.7349,0.45
27,100.1101,0.45
29,83.9728,0.46
31,52.1645,0.46
33,89.7308,0.45
35,66.8699,0.45
37,74.1732,0.45
39,48.7907,0.46
41,76.5986,0.48
43,62.8657,0.46
45,58.3236,0.49
47,54.8791,0.49
49,88.5071,0.5
51,94.1875,0.49
53,106.0053,0.49
55,64.4107,0.49
57,53.2559,0.49
59,88.665,0.49
61,89.7157,0.49
63,116.6661,0.49
65,25.3557,0.49
67,97.5585,0.49
69,78.1371,0.49
71,89.6192,0.49
73,104.6097,0.5
75,54.3529,0.49
77,74.2546,0.49
79,87.5007,0.49
81,108.882,0.48
83,80.2408,0.49
